gene,source,drug
TRPV1,TTD,
,TTD,
ATM,ClearityFoundationBiomarkers,VELIPARIB
SLC12A1,TdgClinicalTrial,METOLAZONE
DRD2,GuideToPharmacology,
SLC2A4,NCI,CURCUMIN
UGT1A1,PharmGKB,CLOZAPINE
MAOB,TTD,
GABRB3,ChemblInteractions,METHOXYFLURANE
FLT1,MyCancerGenome,GLESATINIB
FLT3,DoCM,CRENOLANIB
GPR119,TTD,
IL2RA,NCI,
GLP1R,DTC,PAROXETINE HYDROCHLORIDE
GRIN1,ChemblInteractions,GW468816
GRIN2C,TdgClinicalTrial,DIMIRACETAM
ADRB2,TEND,NADOLOL
GABRA6,ChemblInteractions,THIAMYLAL SODIUM
CCL11,TTD,BERTILIMUMAB
PIK3CG,NCI,PICEATANNOL
CD274,TTD,
EGFR,PharmGKB,RIBAVIRIN
PDK1,TTD,
DNASE1L3,TTD,
BAZ2B,DTC,EPINEPHRINE BITARTRATE
PDGFRB,GuideToPharmacology,
CASP3,DTC,CHEMBL428789
PIK3CD,ChemblInteractions,INCB-40093
HPGD,DTC,CLORGYLINE HYDROCHLORIDE
PPARA,DTC,BROMOXYNIL
ESR1,GuideToPharmacology,PRINABEREL
ERBB2,JAX-CKB,GEDATOLISIB
FLT3,JAX-CKB,METHOTREXATE
PIK3CB,GuideToPharmacology,PANULISIB
CSF1R,TTD,
HRAS,JAX-CKB,METFORMIN
,TTD,RAXIBACUMAB
GNRHR,GuideToPharmacology,
PIK3CA,NCI,IRINOTECAN HYDROCHLORIDE
TYK2,TTD,
EGFR,MyCancerGenome,BMS-690514
KLK2,TTD,AVORALSTAT
CYP2D6,DTC,BUCLADESINE
MUC1,TdgClinicalTrial,
PIK3R3,MyCancerGenomeClinicalTrial,GEDATOLISIB
RGS8,TTD,
ABCB1,NCI,CHLORPROMAZINE
CYP2C9,DTC,FLUTAMIDE
G6PD,FDA,
ALOX15,DTC,ARACHIDONIC ACID
FLT1,GuideToPharmacology,
EZH2,TTD,
ALB,DTC,FLUCONAZOLE
TARDBP,DTC,FAGARONINE
POLH,DTC,CEFIXIME
CYP2D6,PharmGKB,TOLTERODINE
HSD17B10,DTC,TYRPHOSTIN AG-1478
PGR,TTD,ETONOGESTREL
CD19,TTD,
INSR,GuideToPharmacology,
LTA4H,GuideToPharmacology,
DNASE1L3,TTD,
G6PD,PharmGKB,DAUNORUBICIN
P2RY4,GuideToPharmacology,
GABRE,TdgClinicalTrial,CLONAZEPAM
CBX1,DTC,CAMBINOL
PBRM1,CIViC,PEMBROLIZUMAB
BAZ2B,DTC,CHEMBL602135
SMO,JAX-CKB,VISMODEGIB
CHRM3,TEND,OXYPHENCYCLIMINE
FYN,DTC,CENISERTIB
FLT3,TTD,ZIDOVUDINE
DRD3,PharmGKB,OLANZAPINE
AVPR2,TTD,DESMOPRESSIN
PIK3CD,TdgClinicalTrial,
HDAC5,DTC,SUBEROHYDROXAMIC ACID
GABRA6,ChemblInteractions,DIAZEPAM
JAK3,TTD,
GABRP,ChemblInteractions,TRICLOFOS SODIUM
ESR1,PharmGKB,EXEMESTANE
RXRA,DTC,ANTHRAQUINONE
OPRL1,GuideToPharmacology,
USP14,TTD,
MTOR,TdgClinicalTrial,OSI-027
PROC,PharmGKB,PHENPROCOUMON
MCOLN3,GuideToPharmacology,
BRAF,DTC,VEMURAFENIB
,TTD,BIZELESIN
FABP4,TTD,
GABRA1,ChemblInteractions,ESTAZOLAM
GABRG1,TdgClinicalTrial,ETAZOLATE
TRPM3,GuideToPharmacology,
MAP2K1,TdgClinicalTrial,AZD-8330
GABRG3,TEND,ALPRAZOLAM
PSMD7,ChemblInteractions,OPROZOMIB
S1PR1,TTD,
AMY2A,TTD,LIPROTAMASE
NMUR2,GuideToPharmacology,N-METHYL SCOPOLAMINE
KCNJ8,ChemblInteractions,NAMINIDIL
TMPRSS15,TTD,
JAK3,JAX-CKB,RUXOLITINIB
ITGB3,TdgClinicalTrial,
GAA,DTC,MIGALASTAT
HTR3B,TdgClinicalTrial,
KCNH2,DTC,CHEMBL2028044
BRAF,JAX-CKB,PILARALISIB
GABRB2,ChemblInteractions,QUAZEPAM
STAT3,TTD,
RARG,TTD,
PARP2,TTD,
KAT2A,DTC,CIGLITAZONE
PPARG,GuideToPharmacology,DICLOFENAC
MAP2K1,ChemblInteractions,AZD-8330
PGR,TTD,LEVONORGESTREL
SCN3A,ChemblInteractions,PROPAFENONE HYDROCHLORIDE
SLC2A4,NCI,IRBESARTAN
RACGAP1,DTC,PROCHLORPERAZINE EDISYLATE
NR1H2,GuideToPharmacology,ROVAZOLAC
PTGER2,TTD,
PDE2A,TTD,
NPIPB8,PharmGKB,TAPENTADOL
EGFR,ChemblInteractions,CUDC-101
BLM,DTC,CHEMBL585591
SAG,NCI,CYCLOSPORINE
CSF3R,DoCM,RUXOLITINIB
HCAR3,TdgClinicalTrial,
NFKB1,DTC,TETRABROMOBENZOTRIAZOLE
MAPT,DTC,CHEMBL546597
GNAS,DTC,CHEMBL460273
NFE2L2,DTC,SU-9516
NFE2L2,DTC,NIFEDIPINE
PAK4,GuideToPharmacology,
HCAR2,GuideToPharmacology,
GMNN,DTC,PAXILLINE
HTR3A,TTD,GRANISETRON
UGT1A6,PharmGKB,
NR1I3,TTD,MECLIZINE
CHRM1,TEND,PIRENZEPINE
CSNK2A1,DTC,CHEMBL2005186
OTC,FDA,
PDE5A,ChemblInteractions,TADALAFIL
ERBB4,DTC,CEDIRANIB
GABRA5,TdgClinicalTrial,BROMAZEPAM
SRMS,ChemblInteractions,ILORASERTIB
KAT2A,DTC,CHLORPYRIFOS-METHYL
ERBB2,DTC,TAE-684
KLK3,TdgClinicalTrial,TOPSALYSIN
NTRK1,ChemblInteractions,AZD-7451
,TTD,EVOFOSFAMIDE
MAPK12,DTC,DIHYDROTANSHINONE I
POLK,DTC,GALLIC ACID
DRD1,GuideToPharmacology,FLUPHENAZINE
POLK,DTC,CHEMBL122701
PTGS1,ChemblInteractions,OLSALAZINE SODIUM
EHMT2,DTC,ACETAMIDE
CYP2C9,DTC,NAPROXEN
CYP2C19,DTC,GLYCINE
MCL1,DTC,HEXACHLOROPHENE
GLRA1,GuideToPharmacology,
TAOK1,DTC,ADAVOSERTIB
CDX2,NCI,
AVPR2,GuideToPharmacology,BALOVAPTAN
MPHOSPH8,DTC,TYRPHOSTIN 25
MCHR1,TTD,BMS-830216
CAPN2,TTD,
CHRM5,GuideToPharmacology,
PALB2,CIViC,RUCAPARIB
ACSS2,PharmGKB,CARBOPLATIN
FGFR1,TdgClinicalTrial,NINTEDANIB
FGFR2,MyCancerGenome,XL-228
PTGER3,GuideToPharmacology,
ADRA2B,ChemblInteractions,ESMIRTAZAPINE MALEATE
EGFR,TdgClinicalTrial,RINDOPEPIMUT
CYP19A1,NCI,
SHH,DTC,VISMODEGIB
NOX4,TTD,
DHFR,TdgClinicalTrial,TRIMETREXATE
ALPL,DTC,ISOQUERCETIN
SCN3A,TdgClinicalTrial,SAFINAMIDE
GJB7,GuideToPharmacology,CARBENOXOLONE
RAB9A,DTC,AG1295
USP1,DTC,TETRABROMOBENZOTRIAZOLE
CYP2C9,DTC,CHEMBL272005
,TTD,OBILTOXAXIMAB
CCR2,ChemblInteractions,CENICRIVIROC
KCNH2,DTC,CHEMBL601743
CYP2C9,DTC,CLOPIDOGREL
BCL2,TTD,VENETOCLAX
HKDC1,DTC,CHEMBL1503190
NR3C1,GuideToPharmacology,
HDAC4,DTC,LARGAZOLE
TACR2,GuideToPharmacology,
HDAC5,GuideToPharmacology,SCRIPTAID
EP300,GuideToPharmacology,GARCINOL
GRIN3A,ChemblInteractions,RAPASTINEL
IRAK4,TTD,
CYP2D6,FDA,TRAMADOL
CD5,NCI,
RAPGEF3,DTC,CHEMBL1306556
GABRA1,TTD,PENTOBARBITAL
AVPR2,GuideToPharmacology,
CETP,TTD,CHEMBL1086624
SLC12A1,TTD,
ATAD5,DTC,DILAZEP
HEBP1,TTD,
MAPK3,DTC,XANTHOHUMOL
ADRB3,TTD,
S1PR4,GuideToPharmacology,
EGFR,ChemblInteractions,GEFITINIB
AKR1C3,TTD,
CCR2,GuideToPharmacology,
ERBB4,PharmGKB,LAPATINIB
KDM4A,DTC,CHEMBL125044
MDM2,DTC,MANGOSTIN
,ClearityFoundationClinicalTrial,
NFE2L2,DTC,CHEMBL530499
HSPB1,DTC,BUFOTENINE
GABRA4,ChemblInteractions,DIAZEPAM
AR,DTC,BISACODYL
GABRD,TEND,CINOLAZEPAM
TRPC5,GuideToPharmacology,
CDK7,ChemblInteractions,RONICICLIB
NFE2L2,DTC,HOMIDIUM BROMIDE
KDM4A,DTC,CATECHOL
TUBB6,ChemblInteractions,PACLITAXEL
PRKCE,ChemblInteractions,GSK-690693
ESR1,DTC,CHOLECALCIFEROL
PIM3,TTD,
CXCR1,GuideToPharmacology,
USP1,DTC,BITHIONOLATE SODIUM
HDAC2,ChemblInteractions,PANOBINOSTAT LACTATE
L3MBTL1,DTC,CHEMBL139935
INS,TTD,INSULIN GLARGINE
TRPM8,DTC,5-BENZYLOXYTRYPTAMINE
IGF1R,GuideToPharmacology,MECASERMIN
,TTD,
KCNH2,DTC,ISOLIQUIRITIGENIN
CNR1,GuideToPharmacology,SURINABANT
SYK,GuideToPharmacology,
DHODH,GuideToPharmacology,BREQUINAR
FSHR,TdgClinicalTrial,
WEE1,TdgClinicalTrial,ADAVOSERTIB
PIM3,TTD,
TGFB1,TTD,
NPSR1,DTC,MIFEPRISTONE
ADRA1B,GuideToPharmacology,MIANSERIN
CYP2D6,FDA,CLOZAPINE
LIFR,TTD,EMFILERMIN
POLB,DTC,CHEMBL578257
HTR7,GuideToPharmacology,
SCN2A,ChemblInteractions,DISOPYRAMIDE PHOSPHATE
CACNG6,ChemblInteractions,GABAPENTIN ENACARBIL
ITGAL,NCI,
HTR1A,GuideToPharmacology,CHLORPROMAZINE
CXCL8,NCI,FENRETINIDE
RXRA,ChemblInteractions,MOFAROTENE
TNF,TdgClinicalTrial,
PDPK1,GuideToPharmacology,
OPRK1,TEND,OXYCODONE
CDK12,ChemblInteractions,PHA-793887
FADD,NCI,
ADH1C,PharmGKB,ALCOHOL
CYP2D6,DTC,AMPHOTERICIN B
ALDH5A1,TTD,CHLORMERODRIN
PARP1,TTD,
CYP3A4,DTC,8-CYCLOPENTYLTHEOPHYLLINE
PTGDS,GuideToPharmacology,
ARRB2,PharmGKB,BUPRENORPHINE
INSR,PharmGKB,FLUOROURACIL
CYP2C9,PharmGKB,AVATROMBOPAG
FCGR3A,NCI,
RELA,PharmGKB,GEFITINIB
KRAS,JAX-CKB,CRIZOTINIB
GLP1R,DTC,CHEMBL597244
NFE2L2,DTC,MERCURIC CHLORIDE
EDNRA,TTD,BQ-123
ERBB3,CIViC,CETUXIMAB
KCNH1,GuideToPharmacology,CHEMBL52627
ADRA1B,ChemblInteractions,NAPHAZOLINE HYDROCHLORIDE
MTOR,GuideToPharmacology,
,TTD,
LPL,NCI,
HTR1A,TTD,
DRD1,GuideToPharmacology,FENOLDOPAM
HRH3,TTD,
SCN8A,ChemblInteractions,ARTICAINE HYDROCHLORIDE
HRH1,TTD,
CDK7,ChemblInteractions,PHA-793887
RELA,DTC,FRENTIZOLE
TUBB3,ChemblInteractions,IXABEPILONE
IDO1,TTD,
CYP3A4,DTC,CHEMBL336095
PIK3CA,NCI,OPRELVEKIN
DPP8,GuideToPharmacology,TALABOSTAT
MAPK1,DTC,CHEMBL532849
PDK1,TTD,
GMNN,DTC,FLAZALONE
CYP2C9,DTC,NEOSTIGMINE BROMIDE
SLC6A19,GuideToPharmacology,CINROMIDE
DRD2,GuideToPharmacology,BENZQUINAMIDE
CYP2C19,DTC,BAICALEIN
LDLR,PharmGKB,PRAVASTATIN
GSTT1,PharmGKB,CARBOPLATIN
TFPI,NCI,FENOFIBRATE
NFE2L2,DTC,PROPYL GALLATE
PSMD11,ChemblInteractions,OPROZOMIB
PLAUR,TTD,RUXOLITINIB
TBK1,TTD,
EGFR,DoCM,SIROLIMUS
CYP3A4,DTC,(S)-ALAPROCLATE
IL2,NCI,
MGLL,TTD,
ATM,DTC,MITOTANE
ACE,PharmGKB,IRBESARTAN
VDR,GuideToPharmacology,
ERBB4,TdgClinicalTrial,
ITGA4,TTD,ABRILUMAB
TUBA1C,DTC,COLCHICINE
DNER,TTD,
KDM4E,DTC,MYRICETIN
PDGFRB,ClearityFoundationClinicalTrial,
PARP1,TTD,
HTR2B,TTD,
RET,TTD,
CYP2C9,FDA,WARFARIN
MAPT,DTC,(S)APOMORPHINE
PPARA,ChemblInteractions,MURAGLITAZAR
TOP2B,ChemblInteractions,C-1311
SRC,TALC,NINTEDANIB
PTPRB,CIViC,SUNITINIB
AR,GuideToPharmacology,GALETERONE
MAOA,TTD,PIPERINE
CYP2C19,DTC,DIPYRIDAMOLE
JUN,DTC,FENOFIBRATE
TYMS,ClearityFoundationClinicalTrial,FLUOROURACIL
PDGFRB,GuideToPharmacology,CRENOLANIB
DRD2,TdgClinicalTrial,ITOPRIDE
CHRM5,GuideToPharmacology,
USP1,DTC,PYRONIN Y
MPHOSPH8,DTC,CEPHAPIRIN SODIUM
GNRHR,TTD,ELAGOLIX
DRD2,TTD,PHENOXYBENZAMINE
EPHA2,MyCancerGenomeClinicalTrial,DASATINIB
HSPG2,TdgClinicalTrial,PALIFERMIN
GABRA1,GuideToPharmacology,FLUMAZENIL
VEGFA,PharmGKB,PEGAPTANIB SODIUM
DRD2,ChemblInteractions,CHLORPROMAZINE HYDROCHLORIDE
CYP2D6,DTC,SPICLOMAZINE
IL2,NCI,
FGFR1,ChemblInteractions,LUCITANIB
IGHE,TTD,
CDK1,DTC,AZD-1080
POLK,DTC,TYRPHOSTIN 23
PLAU,GuideToPharmacology,
GABRE,ChemblInteractions,OXAZEPAM
SAG,NCI,INDOMETHACIN
DPP4,TTD,DENAGLIPTIN
GSK3A,TTD,
ABCC8,ChemblInteractions,TOLAZAMIDE
MET,TTD,
GMNN,DTC,AMCINONIDE
MAP3K19,TTD,
PIK3CA,JAX-CKB,TRASTUZUMAB
CYP2C9,DTC,COUMARIN
CHRM1,TEND,CYCRIMINE
BAZ2B,DTC,CHEMBL81782
VWF,NCI,PREDNISONE
FLT4,MyCancerGenome,TIVOZANIB
MAP3K11,DTC,CEP-1347
FGFR1,GuideToPharmacology,SU-014813
SCN9A,TTD,
TRPM8,TTD,PF-05105679
SLC6A2,GuideToPharmacology,TRIMIPRAMINE
GLP1R,DTC,CHEMBL127579
ESR1,TdgClinicalTrial,ESTRONE
KDR,ChemblInteractions,SU-014813
GRIK2,TEND,PENTOBARBITAL
KCNA10,ChemblInteractions,GUANIDINE HYDROCHLORIDE
ACHE,GuideToPharmacology,PRALIDOXIME
MET,MyCancerGenome,
CD274,FDA,PEMBROLIZUMAB
DRD2,TdgClinicalTrial,DROPERIDOL
CLC,TTD,TOZULERISTIDE
ADRA2C,ChemblInteractions,TOLAZOLINE HYDROCHLORIDE
CHRNA2,GuideToPharmacology,
AR,TEND,BICALUTAMIDE
JAK2,GuideToPharmacology,
SLC6A5,GuideToPharmacology,
KDM4A,DTC,CHEMBL584514
MAGEA3,TTD,
CYP2D6,PharmGKB,ASPIRIN
LIMK1,DTC,ALISERTIB
CSNK1A1,NCI,HEPARIN
GABRA4,GuideToPharmacology,
CYP1A2,NCI,PICEATANNOL
CSNK1E,GuideToPharmacology,IC261
RAPGEF4,DTC,"2,2',4,4',5,5'-HEXACHLOROBIPHENYL"
IMPDH1,TTD,
NPY4R,TTD,TM30339
FGFR3,TTD,TRAPIDIL
,TTD,AZD1446
TP53,JAX-CKB,BERZOSERTIB
,TTD,
SCN9A,GuideToPharmacology,
KCNH2,DTC,CAPTAN
STAT3,TTD,
SLC19A1,PharmGKB,IMATINIB
FGB,DTC,METHYLTHIONINIUM CHLORIDE
CHRM2,GuideToPharmacology,
MC4R,GuideToPharmacology,CORTICOTROPIN
POLK,DTC,"3,4-DIDESMETHYL-5-DESHYDROXY-3'-ETHOXYSCLEROIN"
PIK3CA,GuideToPharmacology,GEDATOLISIB
PDK1,TTD,
YES1,DTC,PHA-793887
CPB2,NCI,
GABRA2,TEND,FLUNITRAZEPAM
POLK,DTC,CHEMBL450802
,TTD,NINTEDANIB
NTRK1,NCI,PILOCARPINE
KDM4A,DTC,FENOLDOPAM MESYLATE
VDR,DTC,NIFEDIPINE
NTRK1,NCI,
ALDH1A1,DTC,OXYBENZONE
FEN1,DTC,CHEMBL585622
CYP2C19,DTC,BUTYLPARABEN
EPO,TTD,
HDAC8,GuideToPharmacology,CUDC-101
KISS1R,DTC,BENZETHONIUM CHLORIDE
IL3RA,TTD,
KCNH2,PharmGKB,DISOPYRAMIDE
PPARA,DTC,CIGLITAZONE
GABRP,TEND,LORAZEPAM
PFKFB3,TTD,
GBA,DTC,PHLORETIN
RORC,TTD,
TERT,TTD,TERTOMOTIDE
TUBB3,DTC,ABT-751
F10,DTC,MANGIFERIN HEPTASULFATE
MITF,DTC,CHEMBL601140
SCN2A,ChemblInteractions,RILUZOLE
IL18,NCI,
CYP1B1,DTC,BETA-NAPHTHOFLAVONE
HDAC6,DTC,ROMIDEPSIN
CCND1,ChemblInteractions,BRICICLIB
CHRM5,TTD,
,TTD,TROVAFLOXACIN
PDGFRA,DTC,TANDUTINIB
KDM4E,TTD,
ADORA2B,GuideToPharmacology,
FGFR1,TdgClinicalTrial,PALIFERMIN
ATIC,PharmGKB,METHOTREXATE
EHMT2,DTC,TOLAZAMIDE
TNFRSF10B,TALC,DROZITUMAB
ADRA2B,ChemblInteractions,NOREPINEPHRINE BITARTRATE
ADRB2,DTC,RACEPINEPHRINE HYDROCHLORIDE
MTOR,MyCancerGenome,DACTOLISIB
PDGFRA,JAX-CKB,CRENOLANIB
BAZ2B,DTC,CHEMBL1304363
GABRP,TdgClinicalTrial,QUAZEPAM
TAAR1,DTC,TYRAMINE
CYP3A4,DTC,GANGALEOIDIN
CYP2C9,DTC,CILOSTAZOL
MET,MyCancerGenome,
ESR1,TTD,
APP,TTD,
APEX1,DTC,CHEMBL166486
TNIK,GuideToPharmacology,
CD19,TTD,
PSMD4,DTC,BORTEZOMIB
ADRA1A,TEND,
,TTD,PLINABULIN
IDH1,DTC,LYNGBYABELLIN A
HDAC1,TTD,CHEMBL152133
AXL,DTC,CENISERTIB
TRPC5,GuideToPharmacology,
DGAT2,TTD,
PIK3CB,GuideToPharmacology,GDC-0077
DRD2,TTD,DENOPAMINE
TNFRSF8,TTD,
CYP2C9,PharmGKB,NEVIRAPINE
BLK,GuideToPharmacology,
CHRM2,GuideToPharmacology,
CYP3A5,ChemblInteractions,COBICISTAT
CTSS,TTD,
PIK3CB,ChemblInteractions,PILARALISIB
SLK,DTC,LINIFANIB
MCL1,DTC,CEPHALOCHROMIN
ATXN2,DTC,CHEMBL528712
IFNG,NCI,
HTR2A,TdgClinicalTrial,
DRD3,TTD,
CHRNA7,TdgClinicalTrial,HEXOBARBITAL
TUBA3E,ChemblInteractions,VINORELBINE TARTRATE
PLAU,NCI,
NFE2L2,NCI,ALCOHOL
HTT,TTD,
PTEN,JAX-CKB,SAR-260301
APLNR,GuideToPharmacology,
PDK1,TTD,
PDGFRB,GuideToPharmacology,
PLAU,NCI,
AKT1,ClearityFoundationBiomarkers,
GANAB,DTC,MIGLUSTAT
ADAM17,GuideToPharmacology,APRATASTAT
SCN7A,ChemblInteractions,NERISPIRDINE
THSD7B,PharmGKB,ALCOHOL
KDM4A,DTC,CHEMBL582099
XIAP,TTD,
,TTD,
STK3,DTC,CENISERTIB
HTT,DTC,PROFLAVINE
GABRA3,ChemblInteractions,BUTABARBITAL SODIUM
MET,GuideToPharmacology,BMS-777607
CDKN3,ChemblInteractions,PHA-793887
CYP3A4,NCI,SIMVASTATIN
,TTD,
PDGFRB,DTC,PETROSIOL A
CYP3A4,DTC,CHEMBL272005
CHRM1,TdgClinicalTrial,CYCLOPENTOLATE
EGFR,OncoKB,ERLOTINIB
,TALC,AMUVATINIB
RORA,NCI,MELATONIN
ALDH1A1,DTC,METHYLENE BLUE
KDM4C,DTC,CHEMBL578502
TRPV1,TTD,
RGS5,PharmGKB,FLUOROURACIL
GMNN,DTC,DEMECOLCINE
CYP1A2,DTC,DIBUCAINE
,TTD,
CASP5,GuideToPharmacology,
,TTD,
C1R,GuideToPharmacology,NAFAMOSTAT
NGB,NCI,
MDM2,DTC,THIRAM
HDAC9,TALC,DEPAKOTE
HTR7,GuideToPharmacology,SPIPERONE
CD80,NCI,METHYLPREDNISOLONE
PIK3CG,NCI,FILGRASTIM
CETP,TdgClinicalTrial,TORCETRAPIB
CYP3A4,NCI,EFAVIRENZ
JAK2,TTD,
ABCC1,NCI,EPIGALOCATECHIN GALLATE
AR,ChemblInteractions,LGD-2941
CHRM1,GuideToPharmacology,
RET,JAX-CKB,SORAFENIB
CTSB,TTD,
BAZ2B,DTC,CHEMBL1939687
JAK1,GuideToPharmacology,
NMBR,GuideToPharmacology,
HTR2A,GuideToPharmacology,QUINPIROLE
MCL1,TTD,
SCNN1G,ChemblInteractions,TRIAMTERENE
TRPA1,TTD,MENTHOL
PIM1,DTC,SP-600125
MAPK1,DTC,TYRPHOSTIN 47
POLK,DTC,CHEMBL477936
MT-CO1,NCI,ESTRADIOL
XIAP,NCI,TANESPIMYCIN
TG,NCI,OCTREOTIDE
YES1,DTC,QUERCETIN
KIT,GuideToPharmacology,AVAPRITINIB
HSP90AB1,MyCancerGenome,TANESPIMYCIN
HRH1,ChemblInteractions,HYDROXYZINE PAMOATE
PDGFRA,ChemblInteractions,X-82
ATR,ClearityFoundationBiomarkers,RUCAPARIB
,TTD,MARIBAVIR
KDR,MyCancerGenome,TIVOZANIB
FRK,DTC,PF-00562271
ACVRL1,DTC,HESPERADIN
ESRRA,TTD,
DNASE1L3,TTD,
SSTR2,NCI,OCTREOTIDE
PLK1,DTC,DISULFIRAM
IDO1,GuideToPharmacology,
CYP2D6,DTC,FLUPHENAZINE
DDR1,GuideToPharmacology,NILOTINIB
NTRK1,TTD,
YES1,DTC,GW827105X
MCHR1,GuideToPharmacology,
ESR1,TEND,ESTRADIOL
KDM4A,DTC,METRAZOLINE OXALATE
NFE2L2,DTC,OXYQUINOLINE
SLC6A4,TdgClinicalTrial,
MST1R,TALC,FORETINIB
HTR2A,ChemblInteractions,CLOZAPINE
CCND1,TdgClinicalTrial,
CYP2B6,NCI,RITONAVIR
ABCB1,PharmGKB,DEXAMETHASONE
CYP1A2,PharmGKB,TAMOXIFEN
VDR,DTC,CHEMBL592124
GAA,DTC,CHEMBL604100
BRCA2,JAX-CKB,IRINOTECAN
BCL2,NCI,
RGS5,PharmGKB,LEUCOVORIN
CASP8,GuideToPharmacology,EMRICASAN
DPP4,TTD,
TNF,ChemblInteractions,ETANERCEPT
HTR2A,TdgClinicalTrial,PROPIOMAZINE
PRL,NCI,NALOXONE
TARDBP,DTC,CHEMBL600255
KAT2A,DTC,(S)-THIORPHAN
ACHE,TdgClinicalTrial,AMBENONIUM
FLT4,DTC,ILORASERTIB
PDK1,TTD,
CHRNA2,GuideToPharmacology,HEXAMETHONIUM
PDK1,TTD,
OPRK1,TTD,NALBUPHINE
ALDH1A1,DTC,CHEMBL1079460
JAK3,TTD,
CNR1,TTD,
ALDH1A1,DTC,TYRPHOSTIN A9
CLK4,DTC,GW441756X
PDE4A,TTD,
MAPT,DTC,RESVERATROL
AKR1B1,TdgClinicalTrial,RANIRESTAT
PRKACA,DTC,SB-202190
CBX1,DTC,CHEMBL588038
AVPR1A,TdgClinicalTrial,DESMOPRESSIN
AURKC,TALC,TOZASERTIB
MCL1,DTC,CHEMBL1364172
GRPR,GuideToPharmacology,
FDPS,GuideToPharmacology,
OPRM1,TEND,DIPHENOXYLATE
MAP4K5,DTC,OSI-632
RACGAP1,DTC,FAGARONINE
HEXB,NCI,RABEPRAZOLE
CAMK2D,DTC,ALSTERPAULLONE
DRD2,TEND,PRAMIPEXOLE
HTR1D,GuideToPharmacology,
AR,DTC,DITHIAZANINE IODIDE
GABRA6,TEND,OXAZEPAM
PSEN2,TdgClinicalTrial,AVAGACESTAT
MYD88,JAX-CKB,
CSF1R,CancerCommons,PEXIDARTINIB
PIK3CA,JAX-CKB,SORAFENIB
APP,DTC,CHEMBL249447
CNR2,TTD,
AR,DTC,CHEMBL221047
CSF2,NCI,
ADRM1,ChemblInteractions,OPROZOMIB
CDK4,OncoKB,PALBOCICLIB
POLB,DTC,ISOKAEMPFERIDE
RORC,DTC,PHENACYL CHLORIDE
IDH1,DTC,CHEMBL532909
IL5RA,ChemblInteractions,BENRALIZUMAB
PIK3CG,TTD,UMBRALISIB TOSYLATE
EGFR,JAX-CKB,
TUBB,GuideToPharmacology,ERIBULIN
BRCA2,JAX-CKB,RUCAPARIB
CDK7,DTC,PICTILISIB
SLK,DTC,HESPERADIN
IL3RA,TTD,TALACOTUZUMAB
HSD17B10,DTC,HARMOL
PIK3CA,GuideToPharmacology,
AKR1D1,PharmGKB,
PBK,DTC,CHEMBL225519
GABRB1,ChemblInteractions,CLOBAZAM
PIK3C2A,MyCancerGenome,DACTOLISIB
APOBEC3G,DTC,CHEMBL313737
TUBA3D,ChemblInteractions,DAVUNETIDE
PTGER3,GuideToPharmacology,SULPROSTONE
ABL1,JAX-CKB,IMATINIB
GABRA4,TdgClinicalTrial,MIDAZOLAM
,TTD,
CHRM5,TdgClinicalTrial,ACLIDINIUM
HTR7,GuideToPharmacology,
CYP3A4,PharmGKB,
NTRK1,NCI,
NTRK1,DTC,PD-0166285
MTHFR,NCI,MERCAPTOPURINE
GNB3,PharmGKB,CLONIDINE
EHMT2,DTC,WORTMANNIN
PTGS1,TdgClinicalTrial,DIFLUNISAL
PTK6,DTC,TAK-715
ADORA2A,ChemblInteractions,AMINOPHYLLINE
CYP2C19,PharmGKB,RISPERIDONE
ERBB2,TTD,
CAMK2D,DTC,CHEMBL379975
APP,NCI,DAUNORUBICIN
BRAF,TTD,DABRAFENIB
HPGD,DTC,DIHYDROXIDINE
NOTCH1,JAX-CKB,WNT-974
RAPGEF3,DTC,DIPYRIDAMOLE
TDP1,DTC,MERCAPTOPURINE
GRIK1,TTD,NBQX
HPGD,DTC,CHEMBL1214407
LRRK2,DTC,ILORASERTIB
EHMT2,DTC,ISOETHARINE MESYLATE
ABCB1,NCI,SPIRONOLACTONE
CASP6,DTC,CHEMBL445304
EDN1,NCI,
MAPK1,DTC,CHEMBL547833
PGR,TTD,
IDH1,DTC,ETHACRYNIC ACID
TP53,JAX-CKB,
TYR,TTD,
IDH1,DTC,AMPEROZIDE HYDROCHLORIDE
SLC22A2,PharmGKB,
BRCA1,JAX-CKB,
ESR1,TTD,
AKT1,JAX-CKB,ALPELISIB
UGT1A5,NCI,MITOXANTRONE
GSTM1,NCI,IRINOTECAN HYDROCHLORIDE
YES1,DTC,GW441756X
CXCL8,NCI,
CYP3A4,DTC,SERICETIN DIACETATE
HTR2B,GuideToPharmacology,
CYP3A5,PharmGKB,VENLAFAXINE
PSMB10,DTC,CARFILZOMIB
PTGDR,GuideToPharmacology,
SCN1A,ChemblInteractions,PROCAINAMIDE HYDROCHLORIDE
VDR,DTC,TYRPHOSTIN AG 879
ILK,TTD,
HTR6,TTD,LANDIPIRDINE
GAA,DTC,CHEMBL585828
PAK1,GuideToPharmacology,
MAPT,DTC,KAEMPFEROL
CCR2,TTD,
CD5,NCI,IONOMYCIN
TP53,NCI,
AR,TTD,OXANDROLONE
MSLN,TTD,
CTH,TTD,
HTR4,GuideToPharmacology,
TNF,NCI,GLIMEPIRIDE
PIK3CG,NCI,
PTK2,DTC,LINIFANIB
DRD2,DTC,DIHYDREXIDINE
